SourceFile,BlueMatrixColumn,BlueTRC,CMMFlags,ColorSpaceData,ConnectionSpaceIlluminant,CreateDate,Creator,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocumentID,Error,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,GreenMatrixColumn,GreenTRC,HasXFA,HistoryAction,HistoryChanged,HistoryParameters,HistorySoftwareAgent,HistoryWhen,InstanceID,Language,Linearized,Luminance,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEType,ModifyDate,OriginalDocumentID,PageCount,PDFVersion,PrimaryPlatform,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileFileSignature,ProfileID,ProfileVersion,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,TaggedPDF,Technology,Trapped,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,XMPToolkit
350398-flyer.pdf,,,,,,2021:07:26 14:08:09-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:53:49-04:00,2024:04:17 16:53:49-04:00,2024:04:17 16:53:49-04:00,350398-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:07:26 14:08:09-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
350456-flyer.pdf,,,,,,2021:07:27 15:36:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:35-04:00,2024:04:17 16:56:36-04:00,2024:04:17 16:56:36-04:00,350456-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:07:27 15:36:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
352680-flyer.pdf,,,,,,2021:08:12 12:44:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:54:09-04:00,2024:04:17 16:54:09-04:00,2024:04:17 16:54:09-04:00,352680-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:08:12 12:44:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
352693-flyer.pdf,,,,,,2021:08:12 20:08:05-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:39-04:00,2024:04:17 16:56:40-04:00,2024:04:17 16:56:40-04:00,352693-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:08:12 20:08:05-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
353605-flyer.pdf,,,,,,2021:08:19 13:08:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:54:16-04:00,2024:04:17 16:54:17-04:00,2024:04:17 16:54:17-04:00,353605-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:08:19 13:08:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
362432-flyer.pdf,,,,,,2021:09:22 16:44:04-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:09-04:00,2024:04:17 16:57:09-04:00,2024:04:17 16:57:09-04:00,362432-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:09:22 16:44:04-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
369144-flyer.pdf,,,,,,2021:10:19 18:40:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:38-04:00,2024:04:17 16:57:38-04:00,2024:04:17 16:57:38-04:00,369144-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:10:19 18:40:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
387410-flyer.pdf,,,,,,2022:02:09 10:48:03-07:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:59-04:00,2024:04:17 16:56:59-04:00,2024:04:17 16:56:59-04:00,387410-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2022:02:09 10:48:03-07:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
388424-flyer.pdf,,,,,,2022:02:16 08:16:04-07:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:37-04:00,2024:04:17 16:57:37-04:00,2024:04:17 16:57:37-04:00,388424-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2022:02:16 08:16:04-07:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
390876-flyer.pdf,,,,,,2022:02:28 13:32:04-07:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:34-04:00,2024:04:17 16:57:34-04:00,2024:04:17 16:57:34-04:00,390876-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2022:02:28 13:32:04-07:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
