SourceFile,About,AppleKeywords,Author,Comments,Company,Created,CreateDate,CreationDate,Creator,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Description,Directory,DocChangeCount,DocumentID,Encryption,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,HasXFA,Headline,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,InstanceID,Keywords,Language,LastSaved,Linearized,ManifestLinkForm,ManifestPlacedResolutionUnit,ManifestPlacedXResolution,ManifestPlacedYResolution,ManifestReferenceDocumentID,ManifestReferenceInstanceID,MetadataDate,MIMEType,ModDate,ModifyDate,OriginalDocumentID,PageCount,PageLayout,PageMode,PDFVersion,Producer,RenditionClass,SlugChecksum,SlugFamily,SlugFontKind,SlugFontSense_12_Checksum,SlugFoundry,SlugKerningChecksum,SlugOutlineFileSize,SlugPostScriptName,SlugVersion,SourceModified,State,Subject,TaggedPDF,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Trapped,UserAccess,Version,Warning,XMPToolkit
2010-06-22_Dollar_Tree_Inc_Announces_Annual_Meeting_188.pdf,,,,,,,2024:03:11 11:51:15-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:24:00-04:00,2024:04:18 13:24:00-04:00,2024:04:18 13:24:00-04:00,2010-06-22_Dollar_Tree_Inc_Announces_Annual_Meeting_188.pdf,rw-r--r--,42 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,1,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Announces Annual Meeting Results",,,,,
2010-11-17_Dollar_Tree_Completes_Acquisition_of_Canadian_181.pdf,,,,,,,2024:03:11 11:51:10-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:38-04:00,2024:04:18 13:23:38-04:00,2024:04:18 13:23:38-04:00,2010-11-17_Dollar_Tree_Completes_Acquisition_of_Canadian_181.pdf,rw-r--r--,45 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,Dollar Tree Completes Acquisition of Canadian Dollar Giant Stores,,,,,
2011-05-19_Dollar_Tree_Inc_Reports_Record_First_Quarter_175.pdf,,,,,,,2024:03:11 11:51:06-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:33-04:00,2024:04:18 13:23:33-04:00,2024:04:18 13:23:33-04:00,2011-05-19_Dollar_Tree_Inc_Reports_Record_First_Quarter_175.pdf,rw-r--r--,61 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,6,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports Record First Quarter Earnings",,,,,
2011-08-25_Dollar_Tree_Inc_Announces_200_Million_Accelerated__172.pdf,,,,,,,2024:03:11 11:51:04-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:38-04:00,2024:04:18 13:23:38-04:00,2024:04:18 13:23:38-04:00,2011-08-25_Dollar_Tree_Inc_Announces_200_Million_Accelerated__172.pdf,rw-r--r--,40 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Announces $200 Million Accelerated Share Repurchase",,,,,
2011-10-07_Dollar_Tree_Inc_Board_Authorizes_1_5_Billion_170.pdf,,,,,,,2024:03:11 11:51:03-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:38-04:00,2024:04:18 13:23:38-04:00,2024:04:18 13:23:38-04:00,2011-10-07_Dollar_Tree_Inc_Board_Authorizes_1_5_Billion_170.pdf,rw-r--r--,40 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,2,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Board Authorizes $1.5 Billion Share Repurchase Program",,,,,
2012-02-15_Dollar_Tree_Inc_to_Host_Fourth_Quarter_Earnings_169.pdf,,,,,,,2024:03:11 11:51:02-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:24:04-04:00,2024:04:18 13:24:04-04:00,2024:04:18 13:24:04-04:00,2012-02-15_Dollar_Tree_Inc_to_Host_Fourth_Quarter_Earnings_169.pdf,rw-r--r--,36 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,1,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. to Host Fourth Quarter Earnings Conference Call",,,,,
2012-02-22_Dollar_Tree_Inc_Reports_Record_Results_for_the_168.pdf,,,,,,,2024:03:11 11:51:01-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:13-04:00,2024:04:18 13:23:13-04:00,2024:04:18 13:23:13-04:00,2012-02-22_Dollar_Tree_Inc_Reports_Record_Results_for_the_168.pdf,rw-r--r--,58 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,6,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports Record Results for the Fourth Quarter and Fiscal Year 2011",,,,,
2012-05-29_Dollar_Tree_Inc_Announces_2_for_1_Stock_165.pdf,,,,,,,2024:03:11 11:50:59-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:43-04:00,2024:04:18 13:23:43-04:00,2024:04:18 13:23:43-04:00,2012-05-29_Dollar_Tree_Inc_Announces_2_for_1_Stock_165.pdf,rw-r--r--,38 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,1,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Announces 2-for-1 Stock Split",,,,,
2012-08-09_Dollar_Tree_Inc_to_Host_Second_Quarter_Earnings_163.pdf,,,,,,,2024:03:11 11:50:58-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:24:05-04:00,2024:04:18 13:24:05-04:00,2024:04:18 13:24:05-04:00,2012-08-09_Dollar_Tree_Inc_to_Host_Second_Quarter_Earnings_163.pdf,rw-r--r--,37 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,1,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. to Host Second Quarter Earnings Conference Call",,,,,
2012-08-16_Dollar_Tree_Inc_Reports_Second_Quarter_162.pdf,,,,,,,2024:03:11 11:50:57-04:00,,wkhtmltopdf 0.12.5,,,,,,,.,,,,10.80,2024:04:18 13:23:20-04:00,2024:04:18 13:23:20-04:00,2024:04:18 13:23:20-04:00,2012-08-16_Dollar_Tree_Inc_Reports_Second_Quarter_162.pdf,rw-r--r--,56 kB,PDF,pdf,,,,,,,,,,,,,,No,,,,,,,,application/pdf,,,,6,,UseOutlines,1.4,Qt 4.8.7,,,,,,,,,,,,,,,,,,,"Dollar Tree, Inc. Reports Second Quarter Results",,,,,
