SourceFile,About,Author,Company,CreateDate,CreationDate,CreationDate--Text,Creator,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,Description,Directory,DocumentID,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,GTS_PDFXConformance,GTS_PDFXVersion,HasXFA,InstanceID,Keywords,Language,Linearized,MetadataDate,MIMEType,ModDate,ModifyDate,PageCount,PageLayout,PageMode,PDFVersion,Producer,SourceModified,Subject,TaggedPDF,Title,Trapped,Warning,XMPToolkit,XPressPrivate
"O'Reilly%20Automotive,%20Inc.%202021%2010-K.pdf",,"Kumar, Vijay",,2022:02:28 12:16:53-06:00,,,"Kumar, Vijay",Acrobat PDFMaker 21 for Word,,,,.,uuid:41a03d59-c5ae-411f-9fe7-ca32f6f82392,10.80,2024:04:18 13:15:04-04:00,2024:04:18 13:15:05-04:00,2024:04:18 13:15:05-04:00,"O'Reilly%20Automotive,%20Inc.%202021%2010-K.pdf",rw-r--r--,1343 kB,PDF,pdf,application/pdf,,,,uuid:f9ba9031-b217-4209-a53e-fd48ec9b5881,,EN-US,Yes,2022:02:28 12:24:25-06:00,application/pdf,,2022:02:28 12:24:25-06:00,84,OneColumn,,1.6,Adobe PDF Library 21.11.71,D:20220228181622,1,Yes,,,,"Adobe XMP Core 7.1-c000 79.425dc87, 2021/10/27-16:20:32        ",
"O'Reilly%20Automotive,%20Inc.%206000th%20Store%20Press%20Release.pdf",,Shelby Heger,O'Reilly Auto Parts,2023:02:22 14:25:35-06:00,,,Shelby Heger,Acrobat PDFMaker 22 for Word,,,,.,uuid:1bdd1376-be3a-47fe-8aa8-b15400bd10cc,10.80,2024:04:18 13:15:09-04:00,2024:04:18 13:15:09-04:00,2024:04:18 13:15:09-04:00,"O'Reilly%20Automotive,%20Inc.%206000th%20Store%20Press%20Release.pdf",rw-r--r--,228 kB,PDF,pdf,application/pdf,,,,uuid:3582ec02-6b1e-4fdf-b9b8-551b6ec510d2,,EN-US,Yes,2023:02:22 14:25:36-06:00,application/pdf,,2023:02:22 14:25:36-06:00,1,OneColumn,,1.6,Adobe PDF Library 22.3.98,D:20230222185944,3,Yes,,,,"Adobe XMP Core 9.0-c000 79.cca54b0, 2022/11/26-09:29:55        ",
"O'Reilly%20Automotive,%20Inc.%20Executive%20Leadership%20Promotions%20Release.pdf",,,,2023:01:06 12:57:49-06:00,,,,Acrobat PDFMaker 22 for Word,,,,.,uuid:4d0a7421-bcb8-4106-9359-cf33469998fa,10.80,2024:04:18 13:15:06-04:00,2024:04:18 13:15:06-04:00,2024:04:18 13:15:06-04:00,"O'Reilly%20Automotive,%20Inc.%20Executive%20Leadership%20Promotions%20Release.pdf",rw-r--r--,209 kB,PDF,pdf,application/pdf,,,,uuid:deb6375a-5ec4-4de2-aa09-eb6b67ea532e,,EN-US,Yes,2023:01:06 12:57:49-06:00,application/pdf,,2023:01:06 12:57:49-06:00,2,OneColumn,,1.6,Adobe PDF Library 22.3.58,D:20230106185741,1,Yes,,,,"Adobe XMP Core 8.0-c001 79.328f76e, 2022/08/01-19:10:29        ",
"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202022%2010-Q.pdf",,,,2022:05:05 17:02:55-05:00,,,,Acrobat PDFMaker 22 for Word,,,,.,uuid:10432d63-0e47-4770-ba41-46556181bdcc,10.80,2024:04:18 13:15:07-04:00,2024:04:18 13:15:07-04:00,2024:04:18 13:15:07-04:00,"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202022%2010-Q.pdf",rw-r--r--,628 kB,PDF,pdf,application/pdf,,,,uuid:6ca52e3d-9ef6-4cbb-89c6-224d5a85ff64,,EN-US,Yes,2022:05:05 17:07:49-05:00,application/pdf,,2022:05:05 17:07:49-05:00,31,OneColumn,,1.6,Adobe PDF Library 22.1.149,D:20220505220219,1,Yes,,,,"Adobe XMP Core 7.1-c000 79.425dc87, 2021/10/27-16:20:32        ",
"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202023%20Earnings%20Date%20Release.pdf",,,,2023:03:29 12:52:06-05:00,,,,Acrobat PDFMaker 23 for Word,,,,.,uuid:f5d01974-26ac-4982-a570-f80927e7462b,10.80,2024:04:18 13:15:10-04:00,2024:04:18 13:15:11-04:00,2024:04:18 13:15:11-04:00,"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202023%20Earnings%20Date%20Release.pdf",rw-r--r--,173 kB,PDF,pdf,application/pdf,,,,uuid:ba7fdc03-3f94-4ed5-b6e0-8e42ff4146f7,,EN-US,Yes,2023:03:29 12:52:07-05:00,application/pdf,,2023:03:29 12:52:07-05:00,1,OneColumn,,1.6,Adobe PDF Library 23.1.96,D:20230329175153,1,Yes,,,,"Adobe XMP Core 9.0-c000 79.cca54b0, 2022/11/26-09:29:55        ",
"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202024%20Earnings%20Date%20Release.pdf",,,,2024:03:25 17:19:57-05:00,,,,Acrobat PDFMaker 24 for Word,,,,.,uuid:c5c63017-23c6-41a4-8c78-b263d3b76c44,10.80,2024:04:18 13:15:09-04:00,2024:04:18 13:15:09-04:00,2024:04:18 13:15:09-04:00,"O'Reilly%20Automotive,%20Inc.%20First%20Quarter%202024%20Earnings%20Date%20Release.pdf",rw-r--r--,170 kB,PDF,pdf,application/pdf,,,,uuid:d17af7de-6629-40e7-9eea-a63b75b5a6d1,,EN-US,Yes,2024:03:25 17:19:58-05:00,application/pdf,,2024:03:25 17:19:58-05:00,1,OneColumn,,1.6,Adobe PDF Library 24.1.124,D:20240325221945,1,Yes,,,,"Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        ",
"O'Reilly%20Automotive,%20Inc.%20Fourth%20Quarter%20and%20Full-Year%202020%20Earnings%20Release.pdf",,,,2021:02:09 16:18:59-06:00,,,,Acrobat PDFMaker 20 for Word,,,,.,uuid:daefbe12-bbca-4709-807d-77350404f3c9,10.80,2024:04:18 13:15:10-04:00,2024:04:18 13:15:10-04:00,2024:04:18 13:15:10-04:00,"O'Reilly%20Automotive,%20Inc.%20Fourth%20Quarter%20and%20Full-Year%202020%20Earnings%20Release.pdf",rw-r--r--,353 kB,PDF,pdf,application/pdf,,,,uuid:892fb831-1712-4ff3-8258-f2439db5e20f,,EN-US,Yes,2021:02:09 16:19:24-06:00,application/pdf,,2021:02:09 16:19:24-06:00,9,OneColumn,,1.6,Adobe PDF Library 20.13.106,D:20210209221836,1,Yes,,,,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",
"O'Reilly%20Automotive,%20Inc.%20Fourth%20Quarter%20and%20Full-Year%202022%20Earnings%20Release.pdf",,,,2023:02:08 08:56:41-06:00,,,,Acrobat PDFMaker 22 for Word,,,,.,uuid:00698211-b425-4906-9a89-53f26fdaa7bd,10.80,2024:04:18 13:15:09-04:00,2024:04:18 13:15:10-04:00,2024:04:18 13:15:10-04:00,"O'Reilly%20Automotive,%20Inc.%20Fourth%20Quarter%20and%20Full-Year%202022%20Earnings%20Release.pdf",rw-r--r--,357 kB,PDF,pdf,application/pdf,,,,uuid:401da168-d030-4769-af3a-35823c8e31f4,,EN-US,Yes,2023:02:08 08:56:44-06:00,application/pdf,,2023:02:08 08:56:44-06:00,9,OneColumn,,1.6,Adobe PDF Library 22.3.90,D:20230208145549,1,Yes,,,,"Adobe XMP Core 9.0-c000 79.cca54b0, 2022/11/26-09:29:55        ",
"O'Reilly%20Automotive,%20Inc.%20Second%20Quarter%202023%2010-Q.pdf",,,,2023:08:08 09:25:30-05:00,,,,Acrobat PDFMaker 23 for Word,,,,.,uuid:3a988a8f-4146-4c3c-8b31-3967932e1b00,10.80,2024:04:18 13:15:08-04:00,2024:04:18 13:15:08-04:00,2024:04:18 13:15:08-04:00,"O'Reilly%20Automotive,%20Inc.%20Second%20Quarter%202023%2010-Q.pdf",rw-r--r--,800 kB,PDF,pdf,application/pdf,,,,uuid:5bd494ab-0e15-4c83-8b14-1789be0a19bb,,EN-US,Yes,2023:08:08 09:25:46-05:00,application/pdf,,2023:08:08 09:25:46-05:00,37,OneColumn,,1.6,Adobe PDF Library 23.3.20,D:20230808142518,1,Yes,,,,"Adobe XMP Core 9.1-c001 79.2a0d8d9, 2023/03/14-11:19:46        ",
"O'Reilly%20Automotive,%20Inc.%20Vast-Auto%20Acquisition.pdf",,,,2023:12:18 13:21:52-06:00,,,,Acrobat PDFMaker 23 for Word,,,,.,uuid:3fd48df7-8b10-4092-b83b-d3ea5aadb235,10.80,2024:04:18 13:15:05-04:00,2024:04:18 13:15:05-04:00,2024:04:18 13:15:05-04:00,"O'Reilly%20Automotive,%20Inc.%20Vast-Auto%20Acquisition.pdf",rw-r--r--,194 kB,PDF,pdf,application/pdf,,,,uuid:48fe62db-56ff-49d2-b128-2df0e3c2b85d,,EN-US,Yes,2023:12:18 13:21:55-06:00,application/pdf,,2023:12:18 13:21:55-06:00,2,OneColumn,,1.6,Adobe PDF Library 23.6.156,D:20231218180125,1,Yes,,,,"Adobe XMP Core 9.1-c001 79.2a0d8d9, 2023/03/14-11:19:46        ",
